Comment ID,Reply to Which Comment,User ID,Username,Nick Name,Comment,Comment Time,Digg Count,Author Digged,Reply Count,Pinned to Top,User Homepage
"=""7522812726768288526""",,"=""6914411915638178821""",wethotshame,Wethotshame,true. Stocks trading is astrology for tech bros mixed with gambling.,"03/07/2025, 13:16:27",51368,No,163,No,https://www.tiktok.com/@wethotshame
"=""7522856391897072414""","=""7522812726768288526""","=""6889108994460369925""",jrewgo,j🇵🇸,that's finance not econ,"03/07/2025, 16:05:37",270,No,,,https://www.tiktok.com/@jrewgo
"=""7522860441312707341""","=""7522812726768288526""","=""6914411915638178821""",wethotshame,Wethotshame,It's both.,"03/07/2025, 16:21:06",273,No,,,https://www.tiktok.com/@wethotshame
"=""7522861990374392606""","=""7522812726768288526""","=""6889108994460369925""",jrewgo,j🇵🇸,"economist are notoriously bad at the stock market, they are not the same in the slightest. think of it like this, just because someone knows how to build a car engine, doesn't mean they understand how car dealerships make money.","03/07/2025, 16:27:20",468,No,,,https://www.tiktok.com/@jrewgo
"=""7522867835699413774""","=""7522812726768288526""","=""6914411915638178821""",wethotshame,Wethotshame,"And you know whyyy they're bad at the stock market? Bec the economists try to legitimize capitalism through pseudoscience. Which then allows the finance traders to keep hoarding wealth and give themselves power to change the rules to benefit themselves. Or to never let themselves truely fail. And SOMEHOW the economists never account for this. Until years after a collapse cycle. It two sides of the same coin, they feed off of each other","03/07/2025, 16:49:49",152,No,,,https://www.tiktok.com/@wethotshame
"=""7522869674734224142""","=""7522812726768288526""","=""6889108994460369925""",jrewgo,j🇵🇸,"@j🇵🇸:yeah, you have no idea what you are talking about kid. just spouting words you think sound right lol. I get it, you've been personally attacked by supply side macro slop, I too hate that school of thought and right-wing economist. I too have many critiques of capitalism. but that doesn't mean all econ is bad. two things can be true at the same time, freshman econ classes and supply side economist are stupid AF — but, economic as a whole is an incredibly important discipline that helps us study the cause and affect of the social/monetary/political world. its literally the physics of social sciences. go read some heterodox economics and come back.","03/07/2025, 16:57:01",71,No,,,https://www.tiktok.com/@jrewgo
"=""7523038324685308702""","=""7522812726768288526""","=""6866455653529469957""",ntb822,ChadBroChill19,"Nah, that's tism","04/07/2025, 03:51:25",5,No,,,https://www.tiktok.com/@ntb822
"=""7523071196632515359""","=""7522812726768288526""","=""6874805660161295366""",beefymexican,D,🤦🏾 Not all economist center Capitalism.,"04/07/2025, 05:58:49",21,No,,,https://www.tiktok.com/@beefymexican
"=""7523097317814403871""","=""7522812726768288526""","=""7272480274923373614""",user2578999443,C,Read Marx lil bro,"04/07/2025, 07:40:31",8,No,,,https://www.tiktok.com/@user2578999443
"=""7523097559184950047""","=""7522812726768288526""","=""7272480274923373614""",user2578999443,C,Source proof,"04/07/2025, 07:41:33",0,No,,,https://www.tiktok.com/@user2578999443
"=""7523105998489682719""","=""7522812726768288526""","=""6874805660161295366""",beefymexican,D,"Richard David Wolff is a well known American Economist with a podcast, but there are and have been plenty of economists that do not just preach Capitalism. There are other systems out there 🤷🏽","04/07/2025, 08:14:29",14,No,,,https://www.tiktok.com/@beefymexican
"=""7523106444691637022""","=""7522812726768288526""","=""7272480274923373614""",user2578999443,C,Agreed I thought u were implying something different ✌️,"04/07/2025, 08:16:08",1,No,,,https://www.tiktok.com/@user2578999443
"=""7523107072133858079""","=""7522812726768288526""","=""6874805660161295366""",beefymexican,D,"😬 oh, I see. yikes I can see how I could generate confusion.","04/07/2025, 08:18:19",0,No,,,https://www.tiktok.com/@beefymexican
